Player,Total,First team,Second team,Third team,MV,Seasons played
Kareem Abdul-Jabbar,15,10,5,0,6,"20
"
Kobe Bryant,15,11,2,2,1,"20
"
Tim Duncan,15,10,3,2,2,"19
"
LeBron James,14,12,2,0,4,"16
"
Karl Malone,14,11,2,1,2,"19
"
Shaquille O'Neal,14,8,2,4,1,"19
"
Bob Cousy,12,10,2,0,1,"13
"
Dirk Nowitzki,12,4,5,3,1,"20
"
Hakeem Olajuwon,12,6,3,3,1,"18
"
Dolph Schayes,12,6,6,0,0,"16
"
Jerry West,12,10,2,0,0,"14
"
Charles Barkley,11,5,5,1,1,"16
"
John Havlicek,11,4,7,0,0,"16
"
Michael Jordan,11,10,1,0,5,"15
"
Bob Pettit,11,10,1,0,2,"11
"
Oscar Robertson,11,9,2,0,1,"14
"
Bill Russell,11,3,8,0,5,"13
"
John Stockton,11,2,6,3,0,"19
"
Elgin Baylor,10,10,0,0,0,"14
"
Larry Bird,10,9,1,0,3,"13
"
Wilt Chamberlain,10,7,3,0,4,"14
"
Magic Johnson,10,9,1,0,3,"13
"
David Robinson,10,4,2,4,1,"14
"
