Player,Final_MVP
Andre Iguodala,1
Bill Walton,1
Cedric Maxwell,1
Chauncey Billups,1
Dennis Johnson,1
Dirk Nowitzki,1
Dwyane Wade,1
Hakeem Olajuwon,2
Isiah Thomas,1
James Worthy,1
Jerry West,1
Jo Jo White,1
Joe Dumars,1
John Havlicek,1
Kareem Abdul-Jabbar,1
Kawhi Leonard,1
Kevin Durant,2
Kobe Bryant,2
Larry Bird,2
LeBron James,3
Lew Alcindor,1
Magic Johnson,3
Michael Jordan,6
Moses Malone,1
Paul Pierce,1
Rick Barry,1
Shaquille O'Neal,3
Tim Duncan,3
Tony Parker,1
Wes Unseld,1
Willis Reed,2
Wilt Chamberlain,1
